,Feature,Coef
1,Budget,1.5332720789436516
4,CPMin,79.5166162274997
0,index,36982.62354297968
2,Runtime(mins),101821.24997917002
31,Comedy,497662.3795379971
8,Age,501728.5013143738
32,Crime,1250497.8896550473
5,Month,1812478.6565873818
40,Romance,2969097.848361437
38,Horror,3505108.7349644783
41,Sci-Fi,4372876.885361139
30,Biography,4478922.401764195
25,Warner Bros.,4733701.168521621
35,Family,5725247.852608957
43,Thriller,6255323.518350964
16,Lionsgate,7115183.924055062
33,Documentary,7276587.662898134
28,Action,8234147.443704776
7,Summer,8585336.29907593
18,Sony Pictures Classics,8645040.035893558
34,Drama,9394915.646628601
6,Spring,9542121.535607515
39,Musical,9627079.599677183
11,R,10829634.894616267
19,Sony Pictures Releasing,12268052.3333483
22,Twentieth Century Fox,12528125.736637853
44,War,12532863.613110727
42,Sport,13637041.099049255
17,Screen Gems,14742015.848263824
37,History,15242683.7495646
10,PG-13,15714090.005498232
36,Fantasy,15942182.706057342
9,PG,16381235.307267027
45,Western,18459030.04130347
26,Warner Independent Pictures (WIP),20937689.5173346
23,Universal Pictures,22471779.57951745
27,Well Go USA Entertainment,23610742.31956184
21,TriStar Pictures,25465355.159863133
29,Animation,25845801.5846033
3,Year,27421006.775711186
14,Entertainment Studios Motion Pictures,29962923.720487237
12,Dimension Films,30865709.273566592
15,Fathom Events,32181819.799724128
20,Summit Entertainment,33014216.763500907
13,DreamWorks,35897128.562105946
24,Walt Disney Studios Motion Pictures,59308844.46252171
